,Class,Post_NM,ADDR,ADDR_Road,경도,위도
0,서울지방우정청,서울중앙우체국,서울특별시 중구 충무로1가 21-1,서울특별시 중구 소공로 70,126.9821154,37.5615629
1,서울지방우정청,서울을지로4가우체국,서울특별시 중구 을지로4가 312-1,서울특별시 중구 을지로 154-2,126.9951756,37.5661993
2,서울지방우정청,서울태평로우체국,서울특별시 중구 봉래동1가 5-36 우리빌딩 2층,서울특별시 중구 칠패로 42,126.9735861,37.5594488
3,서울지방우정청,서울퇴계로5가우체국,서울특별시 중구 장충동2가 173-3,서울특별시 중구 퇴계로 270,127.0016684,37.562745
4,서울지방우정청,서울역전우체국,서울특별시 중구 봉래동2가 123,서울특별시 중구 통일로 21,126.9714134,37.5575875
5,서울지방우정청,서울신당동우체국,서울특별시 중구 신당동 369-36,서울특별시 중구 다산로 128-8,127.0113012,37.5548943
6,서울지방우정청,서울흥인동우체국,서울특별시 중구 흥인동 113-1,서울특별시 중구 다산로 253,127.0159219,37.565656
7,서울지방우정청,서울소공동우체국,서울특별시 중구 북창동 70-1,서울특별시 중구 남대문로1길 34,126.9775945,37.5625788
8,서울지방우정청,서울충무로2가우체국,서울특별시 중구 충무로2가 49-17,서울특별시 중구 삼일대로6길 5,126.9893235,37.562547
9,서울지방우정청,서울회현동우편취급국,서울특별시 중구 남창동 190-11,서울특별시 중구 퇴계로6길 18,126.9784135,37.5574259
10,서울지방우정청,서울신당1동우편취급국,서울특별시 중구 다산로29길 23(신당동),서울특별시 중구 다산로29길 23,127.0126897,37.5612341
11,서울지방우정청,서울신당현대우편취급국,서울특별시 중구 다산로36나길 7(신당동),서울특별시 중구 다산로36나길 7,127.0195453,37.5605415
12,서울지방우정청,동국대학교우편취급국,서울특별시 중구 필동3가 26,서울특별시 중구 필동로1길 30,127.0001869,37.5582582
13,서울지방우정청,광화문우체국,서울특별시 종로구 서린동 154-1,서울특별시 종로구 종로 6,126.9781051,37.5698231
14,서울지방우정청,서울종로5가우체국,서울특별시 종로구 종로5가 98-6,서울특별시 종로구 종로 207-1,127.0008932,37.5711805
