index,Class,Subclass,Post_code,Post_NM,Main_YN,Division,ADDR,ADDR_Road
1,서울지방우정청,서울중앙우체국,10000260,서울중앙우체국,총괄국,3급,서울특별시 중구 충무로1가 21-1,서울특별시 중구 소공로 70
2,서울지방우정청,서울중앙우체국,10000280,서울을지로4가우체국,,5급,서울특별시 중구 을지로4가 312-1,서울특별시 중구 을지로 154-2
3,서울지방우정청,서울중앙우체국,10000340,서울태평로우체국,,5급,서울특별시 중구 봉래동1가 5-36 우리빌딩 2층,서울특별시 중구 칠패로 42
4,서울지방우정청,서울중앙우체국,10000270,서울퇴계로5가우체국,,6급,서울특별시 중구 장충동2가 173-3,서울특별시 중구 퇴계로 270
5,서울지방우정청,서울중앙우체국,10000290,서울역전우체국,,6급,서울특별시 중구 봉래동2가 123,서울특별시 중구 통일로 21
6,서울지방우정청,서울중앙우체국,10000300,서울신당동우체국,,6급,서울특별시 중구 신당동 369-36,서울특별시 중구 다산로 128-8
7,서울지방우정청,서울중앙우체국,10000310,서울흥인동우체국,,6급,서울특별시 중구 흥인동 113-1,서울특별시 중구 다산로 253
8,서울지방우정청,서울중앙우체국,10000320,서울소공동우체국,,6급,서울특별시 중구 북창동 70-1,서울특별시 중구 남대문로1길 34
9,서울지방우정청,서울중앙우체국,10000400,서울충무로2가우체국,,6급,서울특별시 중구 충무로2가 49-17,서울특별시 중구 삼일대로6길 5
10,서울지방우정청,서울중앙우체국,10000390,서울회현동우편취급국,,취급국,서울특별시 중구 남창동 190-11,서울특별시 중구 퇴계로6길 18
11,서울지방우정청,서울중앙우체국,10000360,서울신당1동우편취급국,,취급국,서울특별시 중구 다산로29길 23(신당동),서울특별시 중구 다산로29길 23
12,서울지방우정청,서울중앙우체국,10000370,서울신당현대우편취급국,,취급국,서울특별시 중구 다산로36나길 7(신당동),서울특별시 중구 다산로36나길 7
13,서울지방우정청,서울중앙우체국,10000410,동국대학교우편취급국,,취급국,서울특별시 중구 필동3가 26,서울특별시 중구 필동로1길 30
14,서울지방우정청,광화문우체국,10000490,광화문우체국,총괄국,3급,서울특별시 종로구 서린동 154-1,서울특별시 종로구 종로 6
15,서울지방우정청,광화문우체국,10000530,서울종로5가우체국,,5급,서울특별시 종로구 종로5가 98-6,서울특별시 종로구 종로 207-1
16,서울지방우정청,광화문우체국,10000550,서울종로2가우체국,,6급,서울특별시 종로구 종로2가 39-2,서울특별시 종로구 종로17길 8
17,서울지방우정청,광화문우체국,10000510,서울안국동우체국,,6급,서울특별시 종로구 안국동 155,서울특별시 종로구 율곡로 49
18,서울지방우정청,광화문우체국,10000540,서울혜화동우체국,,6급,서울특별시 종로구 혜화동 111-3,서울특별시 종로구 혜화로 1
19,서울지방우정청,광화문우체국,10000520,서울통의동우체국,,6급,서울특별시 종로구 통의동 102,서울특별시 종로구 자하문로 30
20,서울지방우정청,광화문우체국,10008610,정부서울청사우편취급국,,취급국,서울특별시 종로구 세종로 77-6,서울특별시 종로구 세종대로 209
21,서울지방우정청,광화문우체국,10000590,서울세검정우체국,,6급,서울특별시 종로구 신영동 133-1,서울특별시 종로구 세검정로 258
22,서울지방우정청,광화문우체국,10000600,서울숭인동우체국,,6급,서울특별시 종로구 숭인동 53-25,서울특별시 종로구 지봉로 88
23,서울지방우정청,광화문우체국,10008620,서울대학교병원우편취급국,,취급국,서울특별시 종로구 연건동 28-21 서울대학교병원 (신)본관 지하1층,서울특별시 종로구 대학로 101
24,서울지방우정청,광화문우체국,10000610,서울삼청동우체국,,6급,서울특별시 종로구 삼청동 25-23,서울특별시 종로구 북촌로 112
25,서울지방우정청,광화문우체국,10000640,서울내수동우편취급국,,취급국,서울특별시 종로구 내수동 167 대우빌딩 지하 101,서울특별시 종로구 새문안로3길 30
26,서울지방우정청,광화문우체국,10000650,서울창신2동우편취급국,,취급국,서울특별시 종로구 창신동 703 쌍용2단지상가 202,서울특별시 종로구 낙산길 196
27,서울지방우정청,광화문우체국,10000660,서울홍파동우편취급국,,취급국,서울특별시 종로구 무악동 63-9,서울특별시 종로구 통일로 266
28,서울지방우정청,광화문우체국,10000670,서울종로6가우편취급국,,취급국,서울특별시 종로구 종로6가 189,서울특별시 종로구 종로41길 36
